ID,link_id,rfc,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp
02324000,1984358,SERFC,-83.3163223266602,29.797025680542,0,0,regular,3
0212467595,9202911,SERFC,-80.6044998168945,35.1264991760254,0,0,flashy,2
021459367,9737002,SERFC,-81.0195693969727,34.9847259521484,0,0,regular,3
02055100,8627131,SERFC,-79.9303131103516,37.4080848693848,1,0,regular,3
0209399200,8891468,SERFC,-79.8564758300781,36.1430587768555,0,0,regular,3
02160381,9692804,SERFC,-82.1435241699219,34.7133026123047,0,0,regular,3
02143040,9745600,SERFC,-81.5629425048828,35.5907592773438,1,0,regular,3
02142000,9753760,SERFC,-81.2346038818359,35.9481773376465,0,0,regular,3
02077200,8701361,SERFC,-79.2033309936524,36.392406463623,0,0,regular,3
02157470,9698267,SERFC,-82.219108581543,35.0395545959473,0,0,regular,3
0214269560,9756570,SERFC,-81.0307998657227,35.4346656799316,0,0,regular,3
02193340,6289497,SERFC,-82.866569519043,33.6818428039551,0,0,regular,3
02198100,9978327,SERFC,-81.8139801025391,32.9369049072266,0,0,regular,3
02084160,3350287,SERFC,-77.2288284301758,35.5577163696289,0,0,regular,3
02069700,8675163,SERFC,-80.1253509521485,36.5647163391113,0,0,regular,3
02051000,8744593,SERFC,-78.3500061035156,36.9988899230957,0,0,regular,3
02079640,12049196,SERFC,-78.3243408203125,36.6811561584473,0,0,regular,3
02178400,6267840,SERFC,-83.5371170043945,34.8909339904785,0,0,regular,3
02111500,9250814,SERFC,-81.1668853759766,36.1823387145996,0,0,regular,3
02152100,12034181,SERFC,-81.6824188232422,35.4883193969727,1,0,regular,3
02070000,8673051,SERFC,-79.9815216064453,36.5684356689453,0,0,regular,3
02095000,8891502,SERFC,-79.7411956787109,36.0514678955078,0,0,regular,3
021652801,9868108,SERFC,-82.1416015625,34.5353202819824,0,0,regular,3
02070500,8673563,SERFC,-79.9911422729492,36.5336799621582,0,0,regular,3
02111180,9251726,SERFC,-81.4053497314453,36.0738716125488,0,0,regular,3
02087359,8784005,SERFC,-78.583869934082,35.7586097717285,0,0,regular,3
02149000,12036581,SERFC,-82.1180267333984,35.4273986816406,0,0,regular,3
02053800,8629303,SERFC,-80.2574081420898,37.1527442932129,0,0,regular,3
02147500,9735864,SERFC,-80.9197845458984,34.5651397705078,0,0,regular,3
02201000,9961690,SERFC,-82.6167907714844,32.9802322387695,0,0,regular,3
0208111310,10449386,SERFC,-76.9821319580078,36.0409812927246,0,0,regular,3
02143000,9745122,SERFC,-81.3937377929688,35.6898918151855,1,0,regular,3
02202600,9944858,SERFC,-81.4749069213867,32.1551742553711,0,0,regular,3
02198690,20106819,SERFC,-81.2990493774414,32.367992401123,0,0,regular,3
02137727,9754776,SERFC,-82.0598602294922,35.6861991882324,0,0,regular,3
02132320,9110346,SERFC,-79.3837280273438,34.7460403442383,0,0,regular,3
02167450,9869384,SERFC,-81.7635040283203,34.2088928222656,0,0,regular,3
02056900,8626863,SERFC,-79.8454437255859,37.0486602783203,0,0,regular,3
02082950,10511316,SERFC,-77.8705368041992,36.1972923278809,0,0,regular,3
02091000,11573918,SERFC,-77.8016891479492,35.4913673400879,0,0,regular,3
02046000,8719481,SERFC,-77.5978317260742,37.0650405883789,0,0,regular,3
02065500,8648830,SERFC,-78.7560348510742,37.0872802734375,0,0,regular,3
02128000,9210446,SERFC,-79.8296585083008,35.3888359069824,0,0,regular,3
02118500,9233605,SERFC,-80.7460403442383,36.0033378601074,0,0,regular,3
02074500,8673535,SERFC,-79.5025100708008,36.6192665100098,0,0,regular,3
02192500,11737579,SERFC,-82.4996490478516,34.068000793457,0,0,regular,3
02177000,6269342,SERFC,-83.3041229248047,34.8113250732422,0,0,regular,3
02092500,10976591,SERFC,-77.4583282470703,35.0648422241211,0,0,regular,3
02053200,8746117,SERFC,-77.023193359375,36.3728179931641,0,0,regular,3
02081500,8760623,SERFC,-78.5783081054688,36.1941642761231,0,0,regular,3
02140991,9752476,SERFC,-81.7111892700195,35.8326950073242,0,0,regular,3
02059500,8627301,SERFC,-79.5198287963867,37.1723823547363,1,0,regular,3
02196000,11730030,SERFC,-82.182502746582,33.7270545959473,0,0,regular,3
02051500,8741021,SERFC,-77.8272094726562,36.7183227539062,0,0,regular,3
02082770,8755825,SERFC,-77.9265594482422,36.116024017334,0,0,regular,3
02110500,9069040,SERFC,-78.7108154296875,33.9123420715332,0,0,regular,3
02108000,10525935,SERFC,-77.8350601196289,34.8310546875,0,0,regular,3
01414500,1748611,MARFC,-74.6575241088867,42.0812454223633,1,0,regular,3
01421618,2612794,MARFC,-74.6271209716797,42.3545951843262,1,0,regular,3
01350140,3247552,NERFC,-74.5214157104492,42.4379119873047,1,0,regular,3
01350080,3247464,NERFC,-74.4054794311523,42.3779182434082,1,0,regular,3
01620500,5909157,MARFC,-79.2654724121094,38.3623924255371,1,0,regular,3
01362370,6189644,NERFC,-74.3168182373047,42.0991897583008,1,0,regular,3
0136230002,6189648,NERFC,-74.3360748291016,42.078727722168,1,0,regular,3
01362497,6189752,NERFC,-74.2299499511719,42.0227127075195,1,0,regular,3
01350035,3247556,NERFC,-74.5068435668945,42.3708572387695,1,0,regular,3
01363382,6191718,NERFC,-74.2848281860352,41.9674758911133,1,0,regular,3
01662800,8466041,MARFC,-78.0717926025391,38.6573638916016,1,0,regular,3
01415000,1748589,MARFC,-74.8115615844727,42.124568939209,1,0,regular,3
01414000,1748723,MARFC,-74.6951370239258,42.1374893188477,1,0,regular,3
01492500,4768920,MARFC,-76.1049957275391,38.9697456359863,1,0,regular,3
01422500,2612842,MARFC,-74.8965148925781,42.2525215148926,1,0,regular,3
01636690,4505510,MARFC,-77.7195205688477,39.3104629516602,1,0,regular,3
01362200,6189624,NERFC,-74.3897399902344,42.1171188354492,1,0,regular,3
01516500,8112305,MARFC,-77.0080947875977,41.7882194519043,1,0,regular,3
01333000,22290373,NERFC,-73.1991653442383,42.6991386413574,1,0,regular,3
01661050,4530917,MARFC,-76.7288970947266,38.3395309448242,0,0,regular,3
