#
#
# US Geological Survey
# retrieved: 2024-08-07 14:11:58 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:11:58 EDT
#
# there are 195 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	16587000	Honopou Stream near Huelo, Maui, HI	ST	20.88563889	-156.25255560	S	NAD83	 1208			20020000	0.59
USGS	16595100	Div. Ditch at intake, Honopou Str nr Huelo,Maui,HI	ST-DCH	20.92822222	-156.24433330	S	NAD83				20020000	
USGS	16595200	Honopou Stream blw. div. ditch nr Huelo, Maui, HI	ST	20.92950000	-156.24480560	S	NAD83				20020000	2.07
USGS	16599500	Opana Tunnel near Kailiili, Maui, HI	ST-DCH	20.84792222	-156.26857500	S	NAD83	 2340.00			20020000	
USGS	16604500	Wailuku River at Kepaniwai Park, Maui, HI	ST	20.88238889	-156.53927780	S	NAD83	 780			20020000	6.13
USGS	16605500	Wailuku River at Iao Valley Road, Maui, HI	ST	20.88297222	-156.53383330	S	NAD83	 663			20020000	6.59
USGS	16611500	S Waiehu Str US of ditch at alt. 315 ft, Maui, HI	ST	20.91071944	-156.50944170	5	NAD83	 315			20020000	1.45
USGS	16614000	Waihee Rv abv Waihee Dtch intk nr Waihee, Maui, HI	ST	20.93586110	-156.54683330	5	NAD83	 605.00			20020000	4.27
USGS	16618000	Kahakuloa Stream near Honokohau, Maui, HI	ST	20.97869444	-156.55450000	5	NAD83	 330.00			20020000	3.40
USGS	16620000	Honokohau Stream near Honokohau, Maui, HI	ST	20.95969444	-156.58705560	S	NAD83	 940			20020000	4.18
USGS	16638500	Kahoma Stream at Lahaina, Maui, HI	ST	20.88313889	-156.67708330	S	NAD83	50			20020000	5.01
USGS	16641000	Kauaula Stream US of ditch diversion, Maui, HI	ST	20.87763889	-156.62241670	H	NAD83	 1550			20020000	1.84
USGS	16643100	Kauaula Stream DS of ditch diversion, Maui, HI	ST	20.87768056	-156.62291670	S	NAD83	 1535			20020000	
USGS	16647000	Ukumehame Gulch nr Olowalu, Maui, HI	ST	20.81854167	-156.58336390	S	NAD83	 400			20020000	3.71
USGS	16647900	Waikapu Str US of S Waikapu Dt intake, Maui, HI	ST	20.85577778	-156.53647220	1	NAD83	1145			20020000	1150
USGS	16681000	Hakioawa Gulch at alt. 75 ft, Kahoolawe, HI	ST	20.58972222	-156.55638890	1	NAD83	 75			20030000	1.09
USGS	16682000	Kaulana Gulch at alt. 100 ft, Kahoolawe, HI	ST	20.59027778	-156.59722220	1	NAD83	 100			20030000	1.20
USGS	16700600	Waiakea Stream at Hoaka Road, HI	ST	19.65808333	-155.11944440	S	NAD83	 860			20010000	32.7
USGS	16701300	Waiakea Stream at Hilo, HI	ST	19.70725000	-155.08172220	5	NAD83	 80			20010000	36.33
USGS	16701600	Alenaio Stream at Hilo, HI	ST	19.71652778	-155.08800000	5	NAD83	 80			20010000	8.75
USGS	16701800	Wailuku River nr Kaumana, HI	ST	19.71768610	-155.26611390	U	NAD83	 3520			20010000	38.44
USGS	16704000	Wailuku River at Piihonua, HI	ST	19.71213889	-155.15075000	5	NAD83	 1090			20010000	220
USGS	16713000	Wailuku River at Hilo, HI	ST	19.72554167	-155.09166940	S	NAD83	 80			20010000	245.48
USGS	16717000	Honolii Stream nr Papaikou, HI	ST	19.76433333	-155.15183330	5	NAD83	 1540			20010000	12.04
USGS	16717700	Hakalau Stream nr alt 1300 ft, HI	ST	19.87170000	-155.16681670	H	NAD83	 1300			20010000	1.75
USGS	16717815	Manowaiopae Stream near Spencer Road, HI	ST	19.97212222	-155.24314440	H	NAD83	 970			20010000	1.36
USGS	16720000	Kawainui Stream nr Kamuela, HI	ST	20.08533333	-155.68116670	S	NAD83	 4060			20010000	1.54
USGS	16720300	Kawaiki Stream near Kamuela, HI	ST	20.08385556	-155.68027780	U	NAD83	 4090			20010000	0.42
USGS	16720500	Upper Hamakua Ditch bl Kawaiki Str nr Kamuela, HI	ST-DCH	20.08441389	-155.67555560	S	NAD83	 4020			20010000	
USGS	16724800	Up Hamakua Ditch ab Alakahi Str nr Kamuela, HI	ST-DCH	20.07218333	-155.67111390	S	NAD83	 3890			20010000	
USGS	16725000	Alakahi Stream near Kamuela, HI	ST	20.07108333	-155.67075000	5	NAD83	 3900			20010000	0.83
USGS	16726000	Up Hamakua Ditch abv Waimea Res Div nr Kamuela, HI	ST-DCH	20.05666944	-155.62610560	S	NAD83	 3040			20010000	
USGS	16727000	Upper Hamakua D ab Puukapu Res nr Kamuela, HI	ST-DCH	20.04500278	-155.61860560	S	NAD83	 2890			20010000	
USGS	16732800	L. Hamakua Ditch abv Main Weir, nr Kukuihaele, HI	ST-DCH	20.11444444	-155.58500000	S	NAD83	 1000			20010000	
USGS	16751500	Awini Puali Gulch US of Kohala Ditch, HI	ST	20.19207222	-155.74767220	1	NAD83	 1000			20010000	1.47
USGS	16756100	Kohakohau Stream above intake, nr Kamuela, HI	ST	20.04561110	-155.68169440	1	NAD83	 3470			20010000	2.48
USGS	16757000	Waikoloa Stream nr Kamuela, HI	ST	20.05179444	-155.66418060	H	NAD83	 3580			20010000	0.9
USGS	16758000	Waikoloa Str at Marine Dam nr Kamuela, HI	ST	20.04363889	-155.66397220	5	NAD83	 3460			20010000	1.40
USGS	16759000	Hauani Gulch near Kamuela, HI	ST	20.03801389	-155.64861390	S	NAD83	 3117.42			20010000	0.46
USGS	16759600	Waiaha Stream at Holualoa, HI	ST	19.63419444	-155.94969440	1	NAD83	 1493			20010000	10.9
